filename,emotion,windows
11a04Wc.wav,happy,2
11a05Ad.wav,angry,2
11a05Fb.wav,fear,3
11a05Fc.wav,fear,4
11a05Lc.wav,boredom,4
11a05Na.wav,neutral,3
11a05Td.wav,sad,6
11a05Wd.wav,happy,4
11a07Ac.wav,angry,1
11a07Ld.wav,boredom,1
11a07Ta.wav,sad,1
11a07Wc.wav,happy,2
11b01Ab.wav,angry,1
11b01Eb.wav,disgust,3
11b01Fc.wav,fear,2
11b01Lb.wav,boredom,2
11b01Nc.wav,neutral,2
11b01Wd.wav,happy,2
11b02Ab.wav,angry,2
11b02Fd.wav,fear,3
11b02Na.wav,neutral,2
11b02Td.wav,sad,3
11b02Wb.wav,happy,3
11b03Fc.wav,fear,4
11b03Lc.wav,boredom,5
11b03Nb.wav,neutral,3
11b03Td.wav,sad,7
11b03Wa.wav,happy,4
11b03Wb.wav,happy,6
11b09Ad.wav,angry,2
11b09Fd.wav,fear,3
11b09Ld.wav,boredom,3
11b09Na.wav,neutral,2
11b09Td.wav,sad,5
11b09Wa.wav,happy,4
11b10Ad.wav,angry,2
11b10Ae.wav,angry,2
11b10Ld.wav,boredom,3
11b10Nc.wav,neutral,1
11b10Td.wav,sad,4
11b10Wa.wav,happy,2
12a01Fb.wav,fear,1
12a01Lb.wav,boredom,1
12a01Nb.wav,neutral,1
12a01Wc.wav,happy,2
12a02Ac.wav,angry,0
12a02Ec.wav,disgust,3
12a02Nb.wav,neutral,1
12a02Wa.wav,happy,1
12a02Wc.wav,happy,0
12a04Wc.wav,happy,1
12a05Ab.wav,angry,3
12a05Lb.wav,boredom,4
12a05Nd.wav,neutral,3
12a05Ta.wav,sad,6
12a05Wb.wav,happy,3
12a07Ac.wav,angry,1
12a07La.wav,boredom,2
12a07Wa.wav,happy,2
12b01Ta.wav,sad,4
12b01Wa.wav,happy,2
12b02Ad.wav,angry,2
12b02Ea.wav,disgust,6
12b02Fb.wav,fear,3
12b02Na.wav,neutral,3
12b02Wa.wav,happy,2
12b02Wb.wav,happy,2
12b02Wd.wav,happy,2
12b03La.wav,boredom,4
12b03Ta.wav,sad,7
12b09Ac.wav,angry,2
12b09Td.wav,sad,6
12b09Wc.wav,happy,2
12b10Ac.wav,angry,1
12b10Ld.wav,boredom,3
12b10Wa.wav,happy,2
13a01Ac.wav,angry,1
13a01Ea.wav,disgust,1
13a01Ec.wav,disgust,2
13a01Fd.wav,fear,1
13a01Lb.wav,boredom,1
13a01Nb.wav,neutral,1
13a01Wb.wav,happy,2
13a02Ad.wav,angry,0
13a02Ec.wav,disgust,1
13a02Fa.wav,fear,1
13a02Lc.wav,boredom,1
13a02Nc.wav,neutral,1
13a02Ta.wav,sad,1
13a02Wa.wav,happy,1
13a04Ac.wav,angry,1
13a04Fc.wav,fear,1
13a04Lb.wav,boredom,2
13a04Ta.wav,sad,2
13a04Wc.wav,happy,1
13a05Aa.wav,angry,2
13a05Ea.wav,disgust,4
13a05Lc.wav,boredom,3
13a05Nb.wav,neutral,3
13a05Tc.wav,sad,5
13a05Wa.wav,happy,2
13a05Wc.wav,happy,3
13a07Fd.wav,fear,1
13a07Lb.wav,boredom,2
13a07Na.wav,neutral,1
13a07Tc.wav,sad,2
13a07Wb.wav,happy,2
13b01Ab.wav,angry,2
13b01Ec.wav,disgust,3
13b01Fc.wav,fear,2
13b01Ld.wav,boredom,2
13b01Nc.wav,neutral,2
13b01Wa.wav,happy,2
13b02Fb.wav,fear,3
13b02Lc.wav,boredom,4
13b02Nb.wav,neutral,2
13b02Wa.wav,happy,2
13b03Ac.wav,angry,3
13b03Ed.wav,disgust,5
13b03Fd.wav,fear,4
13b03Lb.wav,boredom,4
13b03Na.wav,neutral,3
13b03Td.wav,sad,5
13b03Wc.wav,happy,3
13b09Ab.wav,angry,2
13b09Ec.wav,disgust,2
13b09Fb.wav,fear,2
13b09Fc.wav,fear,3
13b09La.wav,boredom,2
13b09Na.wav,neutral,2
13b09Wa.wav,happy,2
13b10Ec.wav,disgust,2
13b10Fa.wav,fear,1
13b10La.wav,boredom,2
13b10Nc.wav,neutral,2
13b10Wa.wav,happy,1
13b10Wc.wav,happy,2
14a01Aa.wav,angry,1
14a01Ac.wav,angry,1
14a01Ea.wav,disgust,3
14a01Na.wav,neutral,1
14a01Wa.wav,happy,1
14a01Wc.wav,happy,1
14a02Ab.wav,angry,0
14a02Ea.wav,disgust,2
14a02Fd.wav,fear,1
14a02La.wav,boredom,1
14a02Nc.wav,neutral,0
14a02Tb.wav,sad,1
14a02Wa.wav,happy,1
14a02Wc.wav,happy,1
14a04Aa.wav,angry,1
14a04Ed.wav,disgust,2
14a04Lb.wav,boredom,1
14a04Tb.wav,sad,2
14a04Tc.wav,sad,2
14a04Wb.wav,happy,1
14a04Wc.wav,happy,2
14a05Aa.wav,angry,2
14a05Ac.wav,angry,4
14a05Fa.wav,fear,3
14a05Fb.wav,fear,3
14a05Lb.wav,boredom,3
14a05Na.wav,neutral,3
14a05Ta.wav,sad,4
14a05Tc.wav,sad,5
14a05Wa.wav,happy,4
14a05Wb.wav,happy,3
14a07Aa.wav,angry,1
14a07Eb.wav,disgust,3
14a07Fd.wav,fear,1
14a07Lc.wav,boredom,3
14a07Ld.wav,boredom,2
14a07Na.wav,neutral,1
14a07Tc.wav,sad,3
14a07Wc.wav,happy,1
14b01Ac.wav,angry,2
14b01Eb.wav,disgust,3
14b01Fa.wav,fear,2
14b01Fc.wav,fear,2
14b01Na.wav,neutral,2
14b01Wc.wav,happy,3
14b02Aa.wav,angry,2
14b02Fb.wav,fear,2
14b02Na.wav,neutral,2
14b02Tc.wav,sad,7
14b02Wb.wav,happy,2
14b02Wd.wav,happy,2
14b03Ad.wav,angry,3
14b03Ed.wav,disgust,5
14b03Lb.wav,boredom,3
14b03Ta.wav,sad,6
14b03Wb.wav,happy,4
14b09Ac.wav,angry,2
14b09Ea.wav,disgust,4
14b09Fc.wav,fear,2
14b09Lb.wav,boredom,3
14b09Td.wav,sad,4
14b09Wa.wav,happy,3
14b09Wc.wav,happy,2
14b10Ad.wav,angry,1
14b10Eb.wav,disgust,3
14b10Lb.wav,boredom,1
14b10Nb.wav,neutral,1
14b10Tc.wav,sad,3
14b10Wc.wav,happy,2
15a01Ea.wav,disgust,2
15a01Fb.wav,fear,1
15a01La.wav,boredom,1
15a01Nb.wav,neutral,1
15a01Wa.wav,happy,1
15a02Ac.wav,angry,1
15a02Ea.wav,disgust,2
15a02La.wav,boredom,1
15a02Na.wav,neutral,1
15a02Ta.wav,sad,2
15a02Wb.wav,happy,1
15a02Wd.wav,happy,1
15a04Ab.wav,angry,1
15a04Ac.wav,angry,1
15a04Fd.wav,fear,1
15a04Nc.wav,neutral,1
15a04Wa.wav,happy,1
15a04Wb.wav,happy,1
15a05Eb.wav,disgust,4
15a05Fb.wav,fear,2
15a05Lb.wav,boredom,3
15a05Na.wav,neutral,3
15a05Wa.wav,happy,3
15a07Ac.wav,angry,1
15a07Eb.wav,disgust,2
15a07Fa.wav,fear,1
15a07Fb.wav,fear,1
15a07Ld.wav,boredom,1
15a07Nc.wav,neutral,1
15b01Ec.wav,disgust,3
15b01Lb.wav,boredom,2
15b01Na.wav,neutral,2
15b01Wc.wav,happy,2
15b02Aa.wav,angry,3
15b02Lb.wav,boredom,3
15b02Nd.wav,neutral,2
15b02Tc.wav,sad,4
15b02Wa.wav,happy,2
15b02Wc.wav,happy,2
15b03Aa.wav,angry,2
15b03Lc.wav,boredom,3
15b03Nb.wav,neutral,3
15b03Tc.wav,sad,6
15b03Wa.wav,happy,3
15b03Wb.wav,happy,3
15b09Ac.wav,angry,2
15b09Fa.wav,fear,2
15b09La.wav,boredom,3
15b09Nb.wav,neutral,2
15b09Ta.wav,sad,4
15b09Wb.wav,happy,2
15b10Ac.wav,angry,1
15b10Lc.wav,boredom,2
15b10Nb.wav,neutral,2
15b10Nc.wav,neutral,1
15b10Wa.wav,happy,2
16a01Ec.wav,disgust,2
16a01Fc.wav,fear,1
16a01Lb.wav,boredom,1
16a01Nc.wav,neutral,1
16a01Tb.wav,sad,2
16a01Wb.wav,happy,1
16a02Ea.wav,disgust,2
16a02Ec.wav,disgust,2
16a02Lb.wav,boredom,1
16a02Nb.wav,neutral,1
16a02Tc.wav,sad,1
16a02Wb.wav,happy,1
16a04Ab.wav,angry,1
16a04Ea.wav,disgust,2
16a04Fa.wav,fear,1
16a04La.wav,boredom,1
16a04Lc.wav,boredom,2
16a04Nc.wav,neutral,1
16a04Tc.wav,sad,3
16a04Wb.wav,happy,2
16a04Wc.wav,happy,1
16a05Ab.wav,angry,2
16a05Ea.wav,disgust,6
16a05Fc.wav,fear,3
16a05La.wav,boredom,4
16a05Tb.wav,sad,8
16a05Wb.wav,happy,4
16a05Wc.wav,happy,4
16a07Ea.wav,disgust,3
16a07Fa.wav,fear,2
16a07Fb.wav,fear,2
16a07La.wav,boredom,1
16a07Lb.wav,boredom,1
16a07Nb.wav,neutral,1
16a07Td.wav,sad,4
16a07Wa.wav,happy,2
16b01Aa.wav,angry,1
16b01Eb.wav,disgust,3
16b01Fa.wav,fear,2
16b01La.wav,boredom,2
16b01Lc.wav,boredom,2
16b01Tb.wav,sad,4
16b01Wa.wav,happy,2
16b01Wb.wav,happy,2
16b02Aa.wav,angry,3
16b02Eb.wav,disgust,4
16b02Fd.wav,fear,3
16b02Lb.wav,boredom,3
16b02Wb.wav,happy,3
16b03Ad.wav,angry,3
16b03Ea.wav,disgust,7
16b03Fa.wav,fear,4
16b03Fd.wav,fear,3
16b03La.wav,boredom,4
16b03Nb.wav,neutral,4
16b03Ta.wav,sad,7
16b03Wb.wav,happy,4
16b09Ab.wav,angry,1
16b09Eb.wav,disgust,5
16b09Fb.wav,fear,3
16b09La.wav,boredom,3
16b09Lb.wav,boredom,3
16b09Wb.wav,happy,4
16b10Aa.wav,angry,2
16b10Eb.wav,disgust,3
16b10Fb.wav,fear,2
16b10Lb.wav,boredom,3
16b10Tb.wav,sad,3
16b10Td.wav,sad,4
16b10Wa.wav,happy,2
16b10Wb.wav,happy,2
